context,strategy,repetition,qid,status,predicted,gold,ready_s
short,concurrency4,3,departure,correct,thursday,thursday,0.3386181669999999
short,concurrency4,3,rover,correct,kestrel,kestrel,0.6130687080000001
short,concurrency4,3,sample,correct,quartz,quartz,0.6003166670000013
short,concurrency4,3,operator,correct,ivo,ivo,0.6254000420000025
short,concurrency4,3,slot,correct,s3,s3,0.591922083
short,serial,1,coordinator,correct,lyn,lyn,0.308843792
short,serial,1,gate,correct,indigo,indigo,0.6667191250000001
short,serial,1,backup,correct,disabled,disabled,0.970615042
short,serial,1,departure,correct,thursday,thursday,1.307077208
short,serial,1,rover,correct,kestrel,kestrel,1.5986898749999998
short,serial,1,sample,correct,quartz,quartz,1.957677667
short,serial,1,operator,correct,ivo,ivo,2.254212292
short,serial,1,slot,correct,s3,s3,2.57646575
short,serial,2,coordinator,correct,lyn,lyn,0.36361124999999994
short,serial,2,gate,correct,indigo,indigo,0.6897129999999994
short,serial,2,backup,correct,disabled,disabled,1.0372102499999993
short,serial,2,departure,correct,thursday,thursday,1.3454391670000003
short,serial,2,rover,correct,kestrel,kestrel,1.7562494169999994
short,serial,2,sample,correct,quartz,quartz,2.1358881249999992
short,serial,2,operator,correct,ivo,ivo,2.5322655419999993
short,serial,2,slot,correct,s3,s3,2.810012875
short,serial,3,coordinator,correct,lyn,lyn,0.297056542
short,serial,3,gate,correct,indigo,indigo,0.633730958000001
short,serial,3,backup,correct,disabled,disabled,0.9933648749999993
short,serial,3,departure,correct,thursday,thursday,1.3917760830000017
short,serial,3,rover,correct,kestrel,kestrel,1.7037983749999999
short,serial,3,sample,correct,quartz,quartz,2.0024427499999984
short,serial,3,operator,correct,ivo,ivo,2.2960903330000004
short,serial,3,slot,correct,s3,s3,2.650815291999999
