attempt_slot,context,strategy,repetition,qids,wall_start_utc,wall_end_utc,call_latency_s,ready_offset_s,status,response_model,input_tokens,output_tokens
28,long,concurrency4,1,backup,2026-09-20T01:45:34.033620+00:00,2026-09-20T01:45:34.393234+00:00,0.35927675000000026,0.36554650000000066,ok,jev-1.13.0,3461,38
26,long,concurrency4,1,coordinator,2026-09-20T01:45:34.027831+00:00,2026-09-20T01:45:34.412081+00:00,0.3841084170000002,0.3843962920000008,ok,jev-1.13.0,3474,49
31,long,concurrency4,1,sample,2026-09-20T01:45:34.346030+00:00,2026-09-20T01:45:34.659876+00:00,0.31342412500000005,0.6321600000000007,ok,jev-1.13.0,3498,56
33,long,concurrency4,1,slot,2026-09-20T01:45:34.421324+00:00,2026-09-20T01:45:34.743588+00:00,0.3222029590000002,0.7159051670000007,ok,jev-1.13.0,3495,57
32,long,concurrency4,1,operator,2026-09-20T01:45:34.401880+00:00,2026-09-20T01:45:34.757396+00:00,0.3554489580000002,0.7297176250000001,ok,jev-1.13.0,3492,53
30,long,concurrency4,1,rover,2026-09-20T01:45:34.342799+00:00,2026-09-20T01:45:34.777212+00:00,0.43423237499999967,0.7495337080000004,ok,jev-1.13.0,3503,59
34,long,batch,1,coordinator;gate;backup;departure;rover;sample;operator;slot,2026-09-20T01:45:34.778200+00:00,2026-09-20T01:45:35.147500+00:00,0.3691303750000001,0.36934970899999975,ok,jev-1.13.0,4212,392
38,short,concurrency4,2,departure,2026-09-20T01:45:35.156427+00:00,2026-09-20T01:45:35.424212+00:00,0.26743933399999964,0.27581587500000015,ok,jev-1.13.0,749,53
35,short,concurrency4,2,coordinator,2026-09-20T01:45:35.148494+00:00,2026-09-20T01:45:35.445480+00:00,0.29688237500000003,0.297087458,ok,jev-1.13.0,746,49
36,short,concurrency4,2,gate,2026-09-20T01:45:35.151428+00:00,2026-09-20T01:45:35.462073+00:00,0.31033004200000036,0.3137033330000003,ok,jev-1.13.0,751,48
37,short,concurrency4,2,backup,2026-09-20T01:45:35.153861+00:00,2026-09-20T01:45:35.540286+00:00,0.38614962499999983,0.3919114160000001,ok,jev-1.13.0,733,38
40,short,concurrency4,2,sample,2026-09-20T01:45:35.455035+00:00,2026-09-20T01:45:35.715667+00:00,0.2605118329999998,0.5672830830000004,ok,jev-1.13.0,770,56
39,short,concurrency4,2,rover,2026-09-20T01:45:35.433813+00:00,2026-09-20T01:45:35.751751+00:00,0.31779062500000066,0.6033884160000005,ok,jev-1.13.0,775,59
41,short,concurrency4,2,operator,2026-09-20T01:45:35.471350+00:00,2026-09-20T01:45:35.816272+00:00,0.3448727079999996,0.6679102910000001,ok,jev-1.13.0,764,53
42,short,concurrency4,2,slot,2026-09-20T01:45:35.543926+00:00,2026-09-20T01:45:35.879725+00:00,0.33576041700000037,0.7313578330000006,ok,jev-1.13.0,767,57
43,short,serial,2,coordinator,2026-09-20T01:45:35.880561+00:00,2026-09-20T01:45:36.244090+00:00,0.3634247500000001,0.36361124999999994,ok,jev-1.13.0,746,49
44,short,serial,2,gate,2026-09-20T01:45:36.244669+00:00,2026-09-20T01:45:36.570201+00:00,0.32540670799999916,0.6897129999999994,ok,jev-1.13.0,751,48
45,short,serial,2,backup,2026-09-20T01:45:36.570743+00:00,2026-09-20T01:45:36.917683+00:00,0.3468301659999984,1.0372102499999993,ok,jev-1.13.0,733,38
46,short,serial,2,departure,2026-09-20T01:45:36.918251+00:00,2026-09-20T01:45:37.225916+00:00,0.30756366700000015,1.3454391670000003,ok,jev-1.13.0,749,53
47,short,serial,2,rover,2026-09-20T01:45:37.226470+00:00,2026-09-20T01:45:37.636747+00:00,0.41013354199999874,1.7562494169999994,ok,jev-1.13.0,775,59
48,short,serial,2,sample,2026-09-20T01:45:37.637300+00:00,2026-09-20T01:45:38.016399+00:00,0.3789459579999992,2.1358881249999992,ok,jev-1.13.0,770,56
49,short,serial,2,operator,2026-09-20T01:45:38.016996+00:00,2026-09-20T01:45:38.412774+00:00,0.39563537499999946,2.5322655419999993,ok,jev-1.13.0,764,53
50,short,serial,2,slot,2026-09-20T01:45:38.413313+00:00,2026-09-20T01:45:38.690520+00:00,0.2770588749999998,2.810012875,ok,jev-1.13.0,767,57
51,short,batch,2,coordinator;gate;backup;departure;rover;sample;operator;slot,2026-09-20T01:45:38.691599+00:00,2026-09-20T01:45:39.042478+00:00,0.3507387080000015,0.3509879170000012,ok,jev-1.13.0,1484,392
52,long,batch,2,coordinator;gate;backup;departure;rover;sample;operator;slot,2026-09-20T01:45:39.043335+00:00,2026-09-20T01:45:39.392183+00:00,0.3486385829999996,0.3489566249999996,ok,jev-1.13.0,4212,392
54,long,concurrency4,2,gate,2026-09-20T01:45:39.396446+00:00,2026-09-20T01:45:39.707800+00:00,0.3109187079999991,0.31465862499999986,ok,jev-1.13.0,3479,48
55,long,concurrency4,2,backup,2026-09-20T01:45:39.398998+00:00,2026-09-20T01:45:39.721793+00:00,0.32238258299999956,0.32866679199999993,ok,jev-1.13.0,3461,38
53,long,concurrency4,2,coordinator,2026-09-20T01:45:39.393234+00:00,2026-09-20T01:45:39.754063+00:00,0.3606892500000001,0.36096070900000043,ok,jev-1.13.0,3474,49
56,long,concurrency4,2,departure,2026-09-20T01:45:39.401779+00:00,2026-09-20T01:45:39.765676+00:00,0.3635167080000006,0.3725682920000004,ok,jev-1.13.0,3477,53
57,long,concurrency4,2,rover,2026-09-20T01:45:39.717650+00:00,2026-09-20T01:45:40.040106+00:00,0.32218029199999876,0.6469188339999992,ok,jev-1.13.0,3503,59
58,long,concurrency4,2,sample,2026-09-20T01:45:39.731281+00:00,2026-09-20T01:45:40.040640+00:00,0.30925604199999945,0.6475433339999999,ok,jev-1.13.0,3498,56
60,long,concurrency4,2,slot,2026-09-20T01:45:39.775009+00:00,2026-09-20T01:45:40.106984+00:00,0.33189945899999884,0.7138815839999992,ok,jev-1.13.0,3495,57
59,long,concurrency4,2,operator,2026-09-20T01:45:39.760239+00:00,2026-09-20T01:45:40.115005+00:00,0.35469641600000124,0.7219060000000006,ok,jev-1.13.0,3492,53
61,long,serial,2,coordinator,2026-09-20T01:45:40.116077+00:00,2026-09-20T01:45:40.494347+00:00,0.3781404999999989,0.3783347079999988,ok,jev-1.13.0,3474,49
62,long,serial,2,gate,2026-09-20T01:45:40.494998+00:00,2026-09-20T01:45:40.844914+00:00,0.3497323750000003,0.7288969170000001,ok,jev-1.13.0,3479,48
63,long,serial,2,backup,2026-09-20T01:45:40.845582+00:00,2026-09-20T01:45:41.194252+00:00,0.348499125,1.0782317499999987,ok,jev-1.13.0,3461,38
64,long,serial,2,departure,2026-09-20T01:45:41.194916+00:00,2026-09-20T01:45:41.500831+00:00,0.30571962500000005,1.3847880830000001,ok,jev-1.13.0,3477,53
65,long,serial,2,rover,2026-09-20T01:45:41.501471+00:00,2026-09-20T01:45:41.849180+00:00,0.3475049170000002,1.733127542,ok,jev-1.13.0,3503,59
66,long,serial,2,sample,2026-09-20T01:45:41.849864+00:00,2026-09-20T01:45:42.133007+00:00,0.2829444580000011,2.016960458,ok,jev-1.13.0,3498,56
67,long,serial,2,operator,2026-09-20T01:45:42.133644+00:00,2026-09-20T01:45:42.453899+00:00,0.32006666699999897,2.337843124999999,ok,jev-1.13.0,3492,53
68,long,serial,2,slot,2026-09-20T01:45:42.454605+00:00,2026-09-20T01:45:42.750964+00:00,0.2961740420000005,2.6349276669999995,ok,jev-1.13.0,3495,57
69,short,serial,3,coordinator,2026-09-20T01:45:42.752820+00:00,2026-09-20T01:45:43.049788+00:00,0.29684283399999956,0.297056542,ok,jev-1.13.0,746,49
70,short,serial,3,gate,2026-09-20T01:45:43.050351+00:00,2026-09-20T01:45:43.386468+00:00,0.3359856660000009,0.633730958000001,ok,jev-1.13.0,751,48
71,short,serial,3,backup,2026-09-20T01:45:43.387053+00:00,2026-09-20T01:45:43.746107+00:00,0.3589311249999998,0.9933648749999993,ok,jev-1.13.0,733,38
72,short,serial,3,departure,2026-09-20T01:45:43.746663+00:00,2026-09-20T01:45:44.144503+00:00,0.39773083300000067,1.3917760830000017,ok,jev-1.13.0,749,53
73,short,serial,3,rover,2026-09-20T01:45:44.145068+00:00,2026-09-20T01:45:44.456528+00:00,0.3113508749999987,1.7037983749999999,ok,jev-1.13.0,775,59
74,short,serial,3,sample,2026-09-20T01:45:44.457113+00:00,2026-09-20T01:45:44.755200+00:00,0.29794274999999715,2.0024427499999984,ok,jev-1.13.0,770,56
75,short,serial,3,operator,2026-09-20T01:45:44.755804+00:00,2026-09-20T01:45:45.048830+00:00,0.2929034580000014,2.2960903330000004,ok,jev-1.13.0,764,53
76,short,serial,3,slot,2026-09-20T01:45:45.049426+00:00,2026-09-20T01:45:45.403578+00:00,0.35401383399999986,2.650815291999999,ok,jev-1.13.0,767,57
77,short,batch,3,coordinator;gate;backup;departure;rover;sample;operator;slot,2026-09-20T01:45:45.404654+00:00,2026-09-20T01:45:45.717858+00:00,0.31308012499999904,0.31330079099999963,ok,jev-1.13.0,1484,392
80,short,concurrency4,3,backup,2026-09-20T01:45:45.724547+00:00,2026-09-20T01:45:46.029191+00:00,0.3043199159999972,0.3104848330000003,ok,jev-1.13.0,733,38
78,short,concurrency4,3,coordinator,2026-09-20T01:45:45.718783+00:00,2026-09-20T01:45:46.042384+00:00,0.32348620900000213,0.3236971670000024,ok,jev-1.13.0,746,49
79,short,concurrency4,3,gate,2026-09-20T01:45:45.722026+00:00,2026-09-20T01:45:46.042858+00:00,0.32048341700000194,0.32421375000000197,ok,jev-1.13.0,751,48
81,short,concurrency4,3,departure,2026-09-20T01:45:45.726959+00:00,2026-09-20T01:45:46.057283+00:00,0.32997004199999935,0.3386181669999999,ok,jev-1.13.0,749,53
85,short,concurrency4,3,slot,2026-09-20T01:45:46.066691+00:00,2026-09-20T01:45:46.310589+00:00,0.24381754099999853,0.591922083,ok,jev-1.13.0,767,57
83,short,concurrency4,3,sample,2026-09-20T01:45:46.052136+00:00,2026-09-20T01:45:46.318965+00:00,0.2667410419999996,0.6003166670000013,ok,jev-1.13.0,770,56
82,short,concurrency4,3,rover,2026-09-20T01:45:46.039263+00:00,2026-09-20T01:45:46.331717+00:00,0.2922242080000004,0.6130687080000001,ok,jev-1.13.0,775,59
84,short,concurrency4,3,operator,2026-09-20T01:45:46.053989+00:00,2026-09-20T01:45:46.344048+00:00,0.289891959000002,0.6254000420000025,ok,jev-1.13.0,764,53
89,long,concurrency4,3,departure,2026-09-20T01:45:46.350193+00:00,2026-09-20T01:45:46.632135+00:00,0.2817527079999991,0.28767124999999893,ok,jev-1.13.0,3477,53
87,long,concurrency4,3,gate,2026-09-20T01:45:46.346642+00:00,2026-09-20T01:45:46.675364+00:00,0.32846699999999984,0.3309074999999986,ok,jev-1.13.0,3479,48
86,long,concurrency4,3,coordinator,2026-09-20T01:45:46.344518+00:00,2026-09-20T01:45:46.748747+00:00,0.4041347920000007,0.40429862499999913,ok,jev-1.13.0,3474,49
88,long,concurrency4,3,backup,2026-09-20T01:45:46.348535+00:00,2026-09-20T01:45:46.759018+00:00,0.41028662500000124,0.4145786670000007,ok,jev-1.13.0,3461,38
90,long,concurrency4,3,rover,2026-09-20T01:45:46.636149+00:00,2026-09-20T01:45:46.955027+00:00,0.31870883399999883,0.6105660419999985,ok,jev-1.13.0,3503,59
91,long,concurrency4,3,sample,2026-09-20T01:45:46.684657+00:00,2026-09-20T01:45:46.964506+00:00,0.27978337500000094,0.6200708749999997,ok,jev-1.13.0,3498,56
92,long,concurrency4,3,operator,2026-09-20T01:45:46.758039+00:00,2026-09-20T01:45:47.093496+00:00,0.33537841700000115,0.7490541250000007,ok,jev-1.13.0,3492,53
93,long,concurrency4,3,slot,2026-09-20T01:45:46.768274+00:00,2026-09-20T01:45:47.123900+00:00,0.35557387500000104,0.7794571670000003,ok,jev-1.13.0,3495,57
94,long,batch,3,coordinator;gate;backup;departure;rover;sample;operator;slot,2026-09-20T01:45:47.125288+00:00,2026-09-20T01:45:47.449756+00:00,0.32430949999999825,0.3245752919999987,ok,jev-1.13.0,4212,392
95,long,serial,3,coordinator,2026-09-20T01:45:47.450801+00:00,2026-09-20T01:45:47.808244+00:00,0.35725200000000257,0.3575155420000016,ok,jev-1.13.0,3474,49
96,long,serial,3,gate,2026-09-20T01:45:47.808892+00:00,2026-09-20T01:45:48.112642+00:00,0.30355512499999904,0.6619183339999992,ok,jev-1.13.0,3479,48
97,long,serial,3,backup,2026-09-20T01:45:48.113286+00:00,2026-09-20T01:45:48.452233+00:00,0.33875812499999824,1.0015115839999993,ok,jev-1.13.0,3461,38
98,long,serial,3,departure,2026-09-20T01:45:48.452869+00:00,2026-09-20T01:45:48.796941+00:00,0.34388662499999967,1.3462125,ok,jev-1.13.0,3477,53
99,long,serial,3,rover,2026-09-20T01:45:48.797584+00:00,2026-09-20T01:45:49.075453+00:00,0.277691082999997,1.6247430419999986,ok,jev-1.13.0,3503,59
100,long,serial,3,sample,2026-09-20T01:45:49.076075+00:00,2026-09-20T01:45:49.385749+00:00,0.309484666000003,1.9350116250000013,ok,jev-1.13.0,3498,56
101,long,serial,3,operator,2026-09-20T01:45:49.386401+00:00,2026-09-20T01:45:49.699019+00:00,0.3124375000000015,2.2482791669999997,ok,jev-1.13.0,3492,53
102,long,serial,3,slot,2026-09-20T01:45:49.699721+00:00,2026-09-20T01:45:50.001280+00:00,0.3013568329999998,2.5505366669999994,ok,jev-1.13.0,3495,57
